# List sidechain effects of HDX rates. From Table II of Bai_Proteins_1993_v17_p75.
# Includes GLUP for LeuT analysis - ASPP may be added too!
#Res lgAL  lgAR  lgBL  lgBR
ALA  0.00  0.00  0.00  0.00
ARG -0.59 -0.32  0.08  0.22
ASN -0.58 -0.13  0.49  0.32
ASP  0.90  0.58 -0.30 -0.18
CYS -0.54 -0.46  0.62  0.55
GLY -0.22  0.22  0.27  0.17
GLN -0.47 -0.27  0.06  0.20
GLU -0.90  0.31 -0.51 -0.15
GLUP -0.60 -0.27 0.24  0.39
HIS  NA    NA   -0.10  0.14
HSP -0.80 -0.51  0.80  0.83
ILE -0.91 -0.59 -0.73 -0.23
LEU -0.57 -0.13 -0.58 -0.21
LYS -0.56 -0.29 -0.04  0.12
MET -0.64 -0.28 -0.01  0.11
PHE -0.52 -0.43 -0.24  0.06
PRO  NA   -0.19  NA   -0.24 # trans
PRO  NA   -0.85  NA    0.60 # cis
SER -0.44 -0.39  0.37  0.30
THR -0.79 -0.47 -0.07  0.20
TRP -0.40 -0.44 -0.41 -0.11
TYR -0.41 -0.37 -0.27  0.05
VAL -0.74 -0.30 -0.70 -0.14
